Session,Player,Participant,Condition,Trial,CompletedThrows,Outcome,RadialError
12,1,23,Lit room,3,13,Miss,6.675029002184184
12,1,23,Lit room,4,14,Miss,10.031641413049009
12,1,23,Lit room,5,15,Miss,6.907474011532729
12,1,23,Lit room,6,16,Miss,7.190594768863013
12,1,23,Lit room,7,17,Miss,15.212849585136915
12,1,23,Lit room,8,18,Hit,4.4706470516022705
12,1,23,Lit room,9,19,Miss,7.1892546852924974
12,1,23,Lit room,10,20,Hit,2.4878907773453385
12,2,24,Dark room,1,1,Miss,10.556743407888625
12,2,24,Dark room,2,2,Miss,22.53177473280788
12,2,24,Dark room,3,3,Hit,3.272917531805527
12,2,24,Dark room,4,4,Hit,1.8086075085545865
12,2,24,Dark room,5,5,Miss,17.922789082617694
12,2,24,Dark room,6,6,Miss,29.920443944901617
12,2,24,Dark room,7,7,Miss,11.594162236660305
12,2,24,Dark room,8,8,Hit,0.9611108989081312
12,2,24,Dark room,9,9,Miss,6.958231100646188
12,2,24,Dark room,10,10,Miss,6.243476320928911
12,2,24,Lit room,1,11,Miss,11.042132787645679
12,2,24,Lit room,2,12,Miss,3.7630236951154123
12,2,24,Lit room,3,13,Miss,7.265228867695778
12,2,24,Lit room,4,14,Miss,6.032965227812946
12,2,24,Lit room,5,15,Miss,10.229119189842299
12,2,24,Lit room,6,16,Miss,6.296847732794563
12,2,24,Lit room,7,17,Miss,10.94369399471678
12,2,24,Lit room,8,18,Miss,9.872803213373603
12,2,24,Lit room,9,19,Miss,12.657191420295435
12,2,24,Lit room,10,20,Miss,10.09312342389608
13,1,25,Dark room,1,1,Miss,25.088694242825785
13,1,25,Dark room,2,2,Miss,11.49484166441627
13,1,25,Dark room,3,3,Miss,7.545406086487336
13,1,25,Dark room,4,4,Miss,14.066264119516596
13,1,25,Dark room,5,5,Miss,19.034731440448546
13,1,25,Dark room,6,6,Miss,10.835233514788692
13,1,25,Dark room,7,7,Miss,15.380413724604429
13,1,25,Dark room,8,8,Miss,13.990743455942575
13,1,25,Dark room,9,9,Miss,20.47756000430717
13,1,25,Dark room,10,10,Miss,9.705521336847397
13,1,25,Lit room,1,11,Miss,19.944036645824745
13,1,25,Lit room,2,12,Miss,9.243957036897141
13,1,25,Lit room,3,13,Miss,3.8815588337676705
13,1,25,Lit room,4,14,Miss,10.726569212008119
13,1,25,Lit room,5,15,Hit,2.729453683431906
13,1,25,Lit room,6,16,Miss,31.895345531597574
13,1,25,Lit room,7,17,Miss,18.378628825894513
13,1,25,Lit room,8,18,Miss,5.503113685905468
13,1,25,Lit room,9,19,Miss,11.997543685688347
13,1,25,Lit room,10,20,Miss,19.812837097447726
13,2,26,Dark room,1,1,Miss,16.285424406505346
13,2,26,Dark room,2,2,Miss,23.14944269761153
13,2,26,Dark room,3,3,Miss,21.239816677645784
13,2,26,Dark room,4,4,Miss,28.79797253366979
13,2,26,Dark room,5,5,Miss,17.083647712652
13,2,26,Dark room,6,6,Miss,14.285274012072712
13,2,26,Dark room,7,7,Miss,4.980708114314671
13,2,26,Dark room,8,8,Miss,15.41323126732352
13,2,26,Dark room,9,9,Miss,8.01485204417399
13,2,26,Dark room,10,10,Miss,17.453745923440046
13,2,26,Lit room,1,11,Miss,24.45462267384226
13,2,26,Lit room,2,12,Hit,1.7359188834735173
13,2,26,Lit room,3,13,Miss,5.724776845432492
13,2,26,Lit room,4,14,Miss,14.97757450190116
13,2,26,Lit room,5,15,Miss,6.240998235058236
13,2,26,Lit room,6,16,Miss,6.019809858292876
13,2,26,Lit room,7,17,Miss,12.196663677006091
13,2,26,Lit room,8,18,Miss,9.758544491879922
13,2,26,Lit room,9,19,Miss,6.114125973514122
13,2,26,Lit room,10,20,Miss,10.252970122359669
